1 Area,2 Subfield,3 Topic Group,4 Topic,5 Subtopic,5.1 SubSubTopic,6 Description GPT5,6.1 Description Gemini
,,,Causal Occasionalism,,,,
,,,Process Theories of Causation,,,,
,,,Statistical Theories of Causation,,,,
,,Varieties of Causation,,,,,
,,,Agent Causation *,,,,
,,,The Direction of Causation,,,,
,,,Causal Overdetermination,,,,
,,,Causal Preemption,,,,
,,,Causation by Absences,,,,
,,,Downward Causation,,,,
,,,Mental Causation *,,,,
,,,Probabilistic Causation,,,,
,,,Singular Causation,,,,
,,,Supervenient Causation *,,,,
,,,Regularity Theories,,,"Humean approach tying causation to constant conjunctions or regularities among event types, often supplemented by best-system accounts of laws.","Theories that analyze causation in terms of constant conjunction or regular patterns of succession: ""C causes E"" means that events of type C are regularly followed by events of type E."
,,Causation Miscellaneous,,,,,
,,,Causal Reasoning *,,,,
,,,Causal Relata,,,,
,,,Causal Explanation,,,,
,,,Causation in the Law *,,,,
,,,Causation and Laws of Nature,,,,
,,,Explanation *,,,,
,,,Humean Supervenience *,,,,
,,,Humean Best System,,,"Humean thesis that laws are the axioms of the simplest, strongest true systematization of particular facts; balances simplicity and strength to fix lawhood.","The view, associated with David Lewis, that laws of nature are the axioms and theorems of the deductive system that best combines simplicity and strength in describing all the facts of the world."
,,,Necessitation/Anti-Humean Views,,,"Anti-Humean views holding that laws involve necessary connections or governing relations (e.g., nomic necessitation, universals theories) rather than mere patterns.","Views that hold that laws of nature are not mere regularities but involve a stronger form of necessity, often grounded in relations between universals or the powers of objects."
,,Dispositions and Powers,,,,"Study of modal properties—dispositions, powers, capacities—that ground tendencies and causal profiles (fragility, charge), including their metaphysical status and manifestation conditions.","The study of the powers, capacities, or tendencies of objects to behave in certain ways under certain conditions (e.g., the fragility of a glass)."
,,,Powers Ontology,,,"Program that takes irreducible powers/dispositions as fundamental constituents of reality, using them to explain causation, laws, and modality without Humean baselines.","An ontology in which fundamental reality is composed of entities with inherent powers or dispositions to affect other things, rather than passive properties."
,Global Metaphysical Theories,,,,,,
,,Idealism,,,,,
,,Dialectical Materialism,,,,,
,,Dualism *,,,,,
,,Global Eliminativism *,,,,,
,,Hylomorphism,,,,,
,,Logical Atomism,,,,,
,,Monism,,,,,
,,Metaphysical Naturalism,,,,,
,,Phenomenalism,,,,,
,,Physicalism,,,,,
,,,Formulating Physicalism *,,,,
,,,Causal Closure of the Physical,,,,
,,,Nonreductive Materialism *,,,,
,,,Supervenience and Physicalism *,,,,
,,,Physicalism about the Mind *,,,,
,,,Speculative Materialism *,,,,
,,,Materialist Feminism *,,,,
,,Process Philosophy,,,,,
,,Humean Supervenience,,,,,
,,Relativism,,,,,
,,,Value Relativism *,,,,
,,,Relativism about Truth *,“My belief is my truth”,,,
,,,Ontological Conventionalism and Relativism *,,,,
,,,Moral Relativism *,,,,
,,,Epistemic Relativism *,,,,
,,,Cultural Relativism *,,,,
,,,Aesthetic Relativism *,,,,
,Interlevel Metaphysics,,,,,,
,,Conceptual Analysis and A Priori Entailment *,,,,,
,,Determinates and Determinables *,,,,,
,,Emergence,,,,,
,,,Psychophysical Emergence *,,,,
,,,Downward Causation *,,,,
,,,Emergence in Physical Science *,,,,
,,,Emergence in Cognitive Science *,,,,
,,,Concepts of Emergence,,,,
,,,Emergence in Biology *,,,,
,,Fundamentality,,,,"Notion of what is absolutely basic in reality—the minimal, independent base that grounds everything else—and debates over whether fundamentality is absolute or relative.","The property of being one of the basic, ungrounded constituents of reality. In a grounding-based metaphysics, the goal is to identify what is fundamental."
,,Grounding,,,,Primitive or analyzable relation by which less fundamental facts obtain in virtue of more fundamental ones; used to articulate levels of reality and explanation.,"A relation of metaphysical determination or explanation, where one fact or entity is said to be grounded in, or exist in virtue of, another more fundamental fact or entity."
,,,Nature of Grounding,,,,
,,,Logic of Grounding,,,,
,,,Critiques and Defenses of Grounding,,,,
,,,Applications of Grounding,,,,
,,Interlevel Metaphysics Misc,,,,,
,,Metaphysical Levels,,,,,
,,,Theories of Levels,,,,
,,,Levels and Units of Selection *,,,,
,,,Levels of Analysis in Cognitive Science *,,,,
,,Physicalism *,,,,,
,,Realization,,,,,
,,,Determinates and Determinables *,,,,
,,,Multiple Realizability *,,,,
,,,Implementing Computations *,,,,
,,,Functional Realization,,,,
,,,Mechanistic Realization,,,,
,,,Subset View of Realization,,,,
,,Reduction *,,,,,
,,Supervenience,,,,,
,,,Moral Supervenience *,,,,
,,,Psychophysical Supervenience *,,,,
,,,Supervenience and Physicalism,,,,
,,,Supervenience General,,,,
,,,Supervenient Causation,,,,
,,Token Identity,,,,,
,,Truthmakers *,,,,,
,Metaontology,,,,,,
,,Ontological Commitment,,,,,
,,Ontological Conventionalism and Relativism,,,,,
,,Ontological Disagreement,,,,,
,,Ontological Fictionalism,,,,,
,,Ontological Pluralism,,,,,
,,Ontological Realism,,,,,
,,Quantification and Ontology *,,,,,
,,Methodology in Metaphysics,,,,,
,,,Debunking Arguments about Metaphysics,,,,
,Modality,,,,,"Study of necessity and possibility, including their sources and scope; distinguishes varieties (metaphysical, nomological, logical, epistemic, deontic) and their interrelations.","The subfield of metaphysics concerned with possibility, necessity, and contingency. It explores the different ways things could, must, or happen to be."
,,Possible Worlds,,,,Framework using complete ways the world might be to analyze modal truth; addresses the nature of worlds (concrete vs abstract) and accessibility relations among them.,A conceptual tool used in modal metaphysics to analyze possibility and necessity. A possible world is a complete and consistent way the world could have been.
