1 Area,2 Subfield,3 Topic Group,4 Topic,5 Subtopic,5.1 SubSubTopic,6 Description GPT5,6.1 Description Gemini,6.2 Description SEP,6.3 Description SEP,SEP Entry ID,SEP Title,SEP URL,SEP Match Method,SEP Fuzzy Score
,,,,Moral Sainthood,,,,,,,,,,
,,,,Personality,,,,,,,,,,
,,,,Skepticism about Character,,,,,,,,,,
,,,,Virtues and Vices,,,,,,,,,,
,,,,Virtue Ethics *,,,,,,,,,,
,,,,Wisdom *,,,,,,,,,,
,,,Moral Education,,,,,,,,,,,
,,,Moral Enhancement,,,,,,,,,,,
,,,Moral Judgment *,,,,,,,,,,,
,,,Moral Reasoning and Motivation *,,,,,,,,,,,
,,,Moral States and Processes,,,,,,,,,,,
,,,,Alienation,,,,"The concept of alienation identifies a distinct kind of psychological or social ill; namely, one involving a problematic separation between a self and other that properly belong together. So understood, it appears to play a largely diagnostic role, perhaps showing that something is awry with liberal societies and liberal political philosophy. Theories of alienation typically pick out a subset of these problematic separations as being of particular importance, and then offer explanatory accounts of the extent of, and prognosis for, alienation, so understood. Discussions of alienation are especially, but not uniquely, associated with Hegelian and Marxist intellectual traditions. The present entry clarifies the basic idea of alienation. It distinguishes alienation from some adjacent concepts; in particular, from 'fetishism' and 'objectification'. And it elucidates some conceptual and normative complexities, including: the distinction between subjective and objective alienation; the need for a criterion by which candidate separations can be identified as problematic; and (some aspects of) the relation between alienation and ethical value. The empirical difficulties often generated by ostensibly philosophical accounts of alienation are acknowledged, but not resolved.","A condition of problematic separation between a self and an 'other' that properly belong together. In Marxist and social philosophy, it describes the estrangement of workers from the products of their labor, their own activity, and their species-being.",/entries/alienation/,Alienation,https://plato.stanford.edu/archives/win2021/entries/alienation/,title_exact_strict,
,,,,Altruism,,,,"Behavior is normally described as altruistic when it is motivated by a desire to benefit someone other than oneself for that person's sake. The term is used as the contrary of ""self-interested"" or ""selfish"" or ""egoistic""-words applied to behavior that is motivated solely by the desire to benefit oneself. ""Malicious"" designates an even greater contrast: it applies to behavior that expresses a desire to harm others simply for the sake of harming them. Sometimes, however, the word is used more broadly to refer to behavior that benefits others, regardless of its motive. Altruism in this broad sense might be attributed to certain kinds of non-human animals-mother bears, for example, who protect their cubs from attack, and in doing so put their own lives in danger. So used, there is no implication that such adult bears act ""for the sake"" of their young (Sober and Wilson 1998: 6). This essay will discuss altruism in the former sense, as behavior undertaken deliberately to help someone other than the agent for that other individual's sake. There is a large and growing empirical literature on altruism, which asks whether there is an evolutionary or biological basis for human altruism, and whether non-human species exhibit it or something similar to it. These issues are addressed by the entries on empirical approaches to altruism and biological altruism. It is commonly assumed that we ought to be altruistic at least to some extent. But to what extent? And is altruism necessarily admirable? Why should one act for the sake of others and not only for one's own sake? For that matter, do people in fact act out of altruism, or is all behavior ultimately self-interested?","Behavior motivated by a concern for the welfare of others for their own sake, contrasting with egoism. Philosophical discussions focus on whether true altruism exists and its role in moral theory.",/entries/altruism/,Altruism,https://plato.stanford.edu/archives/win2021/entries/altruism/,title_exact_strict,
,,,,,Altruism and Psychological Egoism,,,,,,,,,
,,,,,Evolution of Altruism *,,,,,,,,,
,,,,,Effective Altruism *,,,,,,,,,
,,,,Anger,,,,,,,,,,
,,,,Blame,,,,"Blame is a reaction to something of negative normative significance about someone or their behavior. A paradigm case, perhaps, would be when one person wrongs another, and the latter responds with resentment and a verbal rebuke, but of course we also blame others for their attitudes and characters (see, e.g., Smith 2005). Thus blaming scenarios typically involve a wide range of inward and outward responses to a wrongful or bad action, attitude, or character (such responses include: beliefs, desires, expectations, emotions, sanctions, and so on). In theorizing about blame, then, philosophers have typically asked two questions: Which precise reactions and interactions constitute blame? Under what conditions is it appropriate to respond in these ways? Many theorists approach these questions with a larger theoretical agenda in mind: for example, in an effort to understand the conditions of moral responsibility more generally and the nature of freedom (e.g., Wallace 1994), or in an effort to articulate the content of moral properties (e.g., Gibbard 1990). But the questions are interesting in their own right, especially since blame is such a common feature of moral experience. This entry will critically discuss the answers that have been offered in response to the above questions concerning blame, with the aim of shedding some light on blame's nature, ethics, and significance. (A common but by no means universal assumption is that praise is the counterpart of blame; still, it is blame that is often taken to be the more significant phenomenon for moral philosophy.)","A reactive attitude responding to something normatively negative about another's actions, attitudes, or character. Blame involves cognitive, affective, and behavioral components including resentment, judgment, and rebuke. Philosophical questions concern what makes blame appropriate, its relationship to responsibility and desert, and the ethics of blaming practices.",/entries/blame/,Blame,https://plato.stanford.edu/archives/win2021/entries/blame/,title_exact_strict,
,,,,Boredom,,,,,,,,,,
,,,,Courage,,,,,,,,,,
,,,,Cruelty,,,,,,,,,,
,,,,Deception *,,,,,,,,,,
,,,,Disgust,,,,,,,,,,
,,,,Emotions *,,,,,,,,,,
,,,,Empathy and Sympathy,,,,,,,,,,
,,,,Envy,,,,"Envy is a complex and puzzling emotion. It is, notoriously, one of the seven deadly sins in the Catholic tradition. It is very commonly charged with being (either typically or universally) unreasonable, irrational, imprudent, vicious, or wrong to feel. With very few exceptions, the ample philosophical literature defending the rationality and evaluative importance of emotions explicitly excludes envy and a few other nasty emotions as irredeemable. Indeed, some authors who are prepared to defend even jealousy insist that envy is beyond the pale. Yet there is considerable controversy over what precisely envy is, and the cogency of various specific criticisms of envy depends on what view of that subject is adopted. In addition to its centrality to discussions in the philosophy of emotions, envy has sparked controversies in political philosophy. Perhaps best known among these is the claim that egalitarian views of justice are motivated by envy. It also receives substantial treatment from John Rawls, who takes pains to argue that envy does not pose a threat to his theory of justice. Each of these topics receives some treatment below.","The painful emotion arising from another's advantages or possessions one desires for oneself. Traditionally considered vicious, envy involves resenting others' good fortune. Philosophical questions concern whether envy is always irrational, whether it differs from jealousy, and if it can motivate positive action. Some defend certain envious reactions.",/entries/envy/,Envy,https://plato.stanford.edu/archives/win2021/entries/envy/,title_exact_strict,
,,,,Forgiveness,,,,"To forgive is to respond in a particular way to someone who has treated someone badly or wrongly. Forgiveness is therefore a dyadic relation involving a wrongdoer and a wronged party, and is thought to be a way in which victims of wrongdoing alter both their and a wrongdoer's status by, for instance, acknowledging yet moving past a moral transgression. Commonly, forgiveness is thought to involve the giving up of certain negative emotions towards the wrongdoer, the forbearance of negative reactions against the wrongdoer, and possibly the restoration of the relationship with the wrongdoer. Much philosophical discussion of forgiveness centers on three primary questions: (1) What is the nature of forgiveness-what must one do in order to forgive; (2) Who has standing to forgive-when is one in a position to forgive a wrongdoer; and (3) What are the norms governing forgiveness-when is forgiveness morally good, right, or praiseworthy?","Forswearing resentment and punitive responses toward wrongdoers. Philosophical questions concern what forgiveness requires (emotional change, forbearance, or both), whether it's always permissible or obligatory, and its relationship to repentance and apology. Debates address conditional versus unconditional forgiveness and third-party forgiveness's possibility.",/entries/forgiveness/,Forgiveness,https://plato.stanford.edu/archives/win2021/entries/forgiveness/,title_exact_strict,
,,,,Gratitude,,,,"Gratitude is the proper or called-for response in a beneficiary to benefits or beneficence from a benefactor. It is a topic of interest in normative ethics, applied ethics, moral psychology, and political philosophy. Despite its ubiquity in everyday life, there is substantive disagreement among philosophers over the nature of gratitude and its relationship to other philosophical concepts. The sections of this article address five areas of debate about what gratitude is, when gratitude is called for, and how the answers to those questions bear on other topics in moral philosophy and philosophy generally.","A positive response to benefits received from benefactors. Questions concern gratitude's nature (emotion, virtue, or duty), when it's appropriate, whether it requires intentional beneficence, and duties it generates. Debates address whether gratitude to non-persons (nature, God) makes sense and gratitude's political implications.",/entries/gratitude/,Gratitude,https://plato.stanford.edu/archives/win2021/entries/gratitude/,title_exact_strict,
,,,,Guilt and Shame,,,,,,,,,,
,,,,Happiness,,,,"There are roughly two philosophical literatures on ""happiness,"" each corresponding to a different sense of the term. One uses 'happiness' as a value term, roughly synonymous with well-being or flourishing. The other body of work uses the word as a purely descriptive psychological term, akin to 'depression' or 'tranquility'. An important project in the philosophy of happiness is simply getting clear on what various writers are talking about: what are the important meanings of the term and how do they connect? While the ""well-being"" sense of happiness receives significant attention in the contemporary literature on well-being, the psychological notion is undergoing a revival as a major focus of philosophical inquiry, following on recent developments in the science of happiness. This entry focuses on the psychological sense of happiness (for the well-being notion, see the entry on well-being). The main accounts of happiness in this sense are hedonism, the life satisfaction theory, and the emotional state theory. Leaving verbal questions behind, we find that happiness in the psychological sense has always been an important concern of philosophers. Yet the significance of happiness for a good life has been hotly disputed in recent decades. Further questions of contemporary interest concern the relation between the philosophy and science of happiness, as well as the role of happiness in social and political decision-making.","A contested concept used both as evaluative term (well-being, flourishing) and descriptive psychological state (contentment, life satisfaction). Philosophical questions concern happiness's nature, relationship to pleasure and virtue, whether it's the good life's essence, and how to measure or achieve it. Debates address hedonic versus eudaimonic conceptions.",/entries/happiness/,Happiness,https://plato.stanford.edu/archives/win2021/entries/happiness/,title_exact_strict,
,,,,Honesty *,,,,,,,,,,
,,,,Hope,,,,"Discussions of hope can be found throughout the history of philosophy and across all Western philosophical traditions, even though philosophy has traditionally not paid the same attention to hope as it has to attitudes like belief and desire. However, even though hope has historically only rarely been discussed systematically-with important exceptions, such as Aquinas, Bloch and Marcel-almost all major philosophers acknowledge that hope plays an important role in regard to human motivation, religious belief or politics. Historically, discussions of the importance of hope were often embedded in particular philosophical projects. More recent discussions of hope provide independent accounts of its nature and its relation to other mental phenomena, such as desire, intention and optimism.","A future-oriented attitude combining desire and belief in possibility without certainty. Questions concern hope's rationality (can one reasonably hope for the improbable?), relationship to optimism and wishful thinking, and moral significance. Hope features in religion (theological virtue), existentialism (Bloch's principle of hope), and political philosophy.",/entries/hope/,Hope,https://plato.stanford.edu/archives/win2021/entries/hope/,title_exact_strict,
,,,,Hypocrisy,,,,,,,,,,
,,,,Jealousy,,,,,,,,,,
,,,,Kindness,,,,,,,,,,
,,,,Philosophy of Love *,,,,,,,,,,
,,,,Moral Deliberation,,,,,,,,,,
,,,,Moral Imagination,,,,,,,,,,
,,,,Moral Intuition,,,,,,,,,,
,,,,Moral Perception,,,,,,,,,,
,,,,Moral Phenomenology,,,,"Sometimes the term ""phenomenology"" is used to refer to the subjective character of one's experiences or, as it is often glossed, their ""what-it's-likeness"". Used in this way, one may, for instance, focus on the what-it's-likeness of a sharp pain one is currently experiencing and perhaps attempt to describe the subjective character of that pain-its phenomenology. However, the term is also used as a label for a field of study, having a particular subject matter, methodology, and guiding aim. This is how it will be used in this entry. Generally speaking, then, moral phenomenology is a field of inquiry whose subject matter is moral experience in all its variety, whose aims are to provide accurate descriptions of such experience, guided by methods of first-person inquiry, and to explore the significance of moral phenomenology for select issues in metaethics and normative ethics. There are two dominant traditions within this field, one associated with the phenomenological tradition initiated by Edmund Husserl, the other closely allied with work in the analytic philosophy of mind. This entry will cover both traditions. Its aim is not to survey the different moral theories proposed in the two traditions, but rather to provide an account of the methodologies involved in moral phenomenology, to illustrate how these methodologies are applied in the discussion of various types of moral experience, and to suggest ways in which the results of these analyses address questions in metaethics and normative ethics.","Study of the experiential character of moral life. What is it like to feel obligation, guilt, or moral perception? Questions concern whether moral experience seems objective (Mandelbaum) and the cognitive/conative nature of moral sentiments. Used to support moral realism or anti-realism.",/entries/moral-phenomenology/,Moral Phenomenology,https://plato.stanford.edu/archives/win2021/entries/moral-phenomenology/,title_exact_strict,
,,,,Pessimism,,,,,,,,,,
,,,,Pride,,,,,,,,,,
,,,,Resentment,,,,,,,,,,
,,,,Schadenfreude,,,,,,,,,,
,,,,Self-Deception,,,,"Virtually every aspect of self-deception, including its definition and paradigmatic cases, is a matter of controversy among philosophers. Minimally, self-deception involves a person who seems to acquire and maintain some false belief in the teeth of evidence to the contrary as a consequence of some motivation, and who may display behavior suggesting some awareness of the truth. Beyond this, philosophers divide over whether self-deception is intentional, involves belief or some other sub-or-non-doxastic attitude, whether self-deceivers are morally responsible for their self-deception, and whether self-deception is morally problematic (and if it is in what ways and under what circumstances), whether self-deception is beneficial or harmful, whether and in what sense collectives can be self-deceived, how this might affect individuals within such collectives, whether our penchant for self-deception was selected for or merely an accidental byproduct of our evolutionary history, and if it was selected, why? The discussion of self-deception and its associated puzzles sheds light on the ways motivation affects belief acquisition and retention and other belief-like cognitive attitudes; it also prompts us to scrutinize the notion of belief and the limits of such folk psychological concepts to adequately explain phenomena of this sort. And yet insofar as self-deception represents an obstacle to self-knowledge, both individually and collectively, it is more than just another interesting philosophical puzzle. It is a problem of existential concern, since it suggests that there is a distinct possibility that we live with distorted views of our selves, others and the world that may make us strangers to ourselves and blind to the nature of our significant moral engagements.",The puzzling phenomenon of deceiving oneself into believing what evidence contradicts. Paradoxes arise: how can one simultaneously know and not know the truth? Accounts range from intentionalist (self-deception is like interpersonal deception turned inward) to non-intentionalist (motivated irrationality without intention). Debates concern whether it involves belief or merely bias.,/entries/self-deception/,Self-Deception,https://plato.stanford.edu/archives/win2021/entries/self-deception/,title_exact_strict,
,,,,Tolerance,,,,,,,,,,
,,,,Trust,,,,"Trust is important, but it is also dangerous. It is important because it allows us to depend on others-for love, for advice, for help with our plumbing, or what have you-especially when we know that no outside force compels them to give us these things. But trust also involves the risk that people we trust will not pull through for us, since if there were some guarantee they would pull through, then we would have no need to trust them.[1] Trust is therefore dangerous. What we risk while trusting is the loss of valuable things that we entrust to others, including our self-respect perhaps, which can be shattered by the betrayal of our trust. Because trust is risky, the question of when it is warranted is of particular importance. In this context, ""warranted"" means justified or well-grounded meaning, respectively, that the trust is rational (e.g., it is based on good evidence) or that it successfully targets a trustworthy person. If trust is warranted in these senses, then the danger of it is either minimized as with justified trust or eliminated altogether as with well-grounded trust. Leaving the danger of trust aside, one could also ask whether trust is warranted in the sense of being plausible. Trust may not be warranted in a particular situation because it is simply not plausible; the conditions necessary for it do not exist, as is the case when people feel only antagonism toward one another. This entry on trust is framed as a response to the general question of when trust is warranted, where ""warranted"" is broadly construed to include ""justified"", ""well-grounded"" and ""plausible"". A complete philosophical answer to the above question must explore the various philosophical dimensions of trust, including the conceptual nature of trust and trustworthiness, the epistemology of trust, the value of trust, and the kind of mental attitude trust is. To illustrate how each of these matters is relevant, note that trust is warranted, that is, plausible, again, only if the conditions required for trust exist (e.g., some optimism about one another's ability). Knowing what these conditions are requires understanding the nature of trust. well-grounded, only if the trustee (the one trusted) is trustworthy, which makes the nature of trustworthiness important in determining when trust is warranted. justified, sometimes when the trustee is not in fact trustworthy, which suggests that the epistemology of trust is relevant. justified, often because some value will emerge from the trust or because it is valuable in and of itself. Hence, the value of trust is important. plausible, only when it is possible for one to develop trust, given one's circumstances and the sort of mental attitude trust is. For instance, trust may not be the sort of attitude that one can will oneself to have without any evidence of a person's trustworthiness. This piece explores these different philosophical issues about trust. It deals predominantly with interpersonal trust, which I take to be the dominant paradigm of trust. Although some philosophers write about trust that is not interpersonal, including trust in groups (Hawley 2017), institutional trust (i.e., trust in institutions; see, e.g., Potter 2002; Govier 1997; Townley and Garfield 2013), trust in government (e.g., Hardin 2002; Budnik 2018) or science (e.g., Oreskes 2019), self-trust (Govier 1993; Lehrer 1997; Foley 2001; McLeod 2002; Goering 2009; Jones 2012b; Potter 2013), and trust in robots (e.g., Coeckelbergh 2012, Sullins 2020), most would agree that these forms of ""trust"" are coherent only if they share important features of (i.e., can be modeled on) interpersonal trust. I therefore assume that the dominant paradigm is interpersonal. In addition, while my focus is mainly on trust and trustworthiness, I also discuss distrust (more so in this version of the entry than in previous versions). Distrust has received surprisingly little attention from philosophers, although it has recently become a topic of serious concern for some of them, particularly those who are interested in the politics of trust and distrust in societies marked by oppression and privilege. Relevant issues include when distrust is warranted by people who experience oppression and how misplaced distrust (i.e., in the oppressed) can be overcome by people who are privileged. I delve into these matters and also summarize the few theories that exist about the nature of distrust.","Epistemic and moral reliance on others. Is trust a belief (that they are trustworthy) or an attitude (optimism)? Trust vs. Reliance (trust can be betrayed, reliance only disappointed). Essential for social cooperation and knowledge (testimony).",/entries/trust/,Trust,https://plato.stanford.edu/archives/win2021/entries/trust/,title_exact_strict,
,,,Moral Psychology Misc,,,,,,,,,,,
,,,,Moral Emotion,,,,,,,,,,
,,,,Moral Emotivism and Sentimentalism *,,,,,,,,,,
,,,,Responsibility and Emotion,,,,,,,,,,
,,Normative Ethics Miscellaneous,,,,,,,,,,,,
,,,Feminist Ethics,,,,,"Feminist Ethics aims ""to understand, criticize, and correct"" how gender operates within our moral beliefs and practices (Lindemann 2005, 11) and our methodological approaches to ethical theory. More specifically, feminist ethicists aim to understand, criticize, and correct: (1) the binary view of gender, (2) the privilege historically available to men, and/or (3) the ways that views about gender maintain oppressive social orders or practices that harm others, especially girls and women who historically have been subordinated, along gendered dimensions including sexuality and gender-identity. Since oppression often involves ignoring the perspectives of the marginalized, different approaches to feminist ethics have in common a commitment to better understand the experiences of persons oppressed in gendered ways. That commitment results in a tendency, in feminist ethics, to take into account empirical information and material actualities. Not all feminist ethicists correct all of (1) through (3). Some have assumed or upheld the gender binary (Wollstonecraft 1792; Firestone 1970). They criticize and aim to correct the privileging of men as the more morally worthy half of the binary, or argue against the maintenance of a social order that oppresses others in gendered ways. More recently, feminist ethicists have commonly criticized the gender binary itself, arguing that upholding a fixed conception of the world as constituted only by ""biological"" men and women contributes to the maintenance of oppressive and gendered social orders, especially when doing so marginalizes those who do not conform to gender binaries (Butler 1990; Bettcher 2014; Dea 2016a). Feminist ethicists who are attentive to the intersections of multiple aspects of identity including race, class, and disability, in addition to gender, criticize and correct assumptions that men simpliciter are historically privileged, as if privilege distributes equally among all men regardless of how they are socially situated. They instead focus more on criticizing and correcting oppressive practices that harm and marginalize others who live at these intersections in order to account for the distinctive experiences of women whose experiences are not those of members of culturally dominant groups (Crenshaw 1991; Khader 2013). Whatever the focus of feminist ethicists, a widely shared characteristic of their works is at least some overt attention to power, privilege, or limited access to social goods. In a broad sense, then, feminist ethics is fundamentally political (Tong 1993, 160). This is not necessarily a feature of feminist ethics that distinguishes it from ""mainstream"" ethics, however, since feminist analyses of ethical theory as arising from material and nonideal contexts suggest that all ethics is political whether its being so is recognized by the theorist or not. Since feminist ethics is not merely a branch of ethics, but is instead ""a way of doing ethics"" (Lindemann 2005, 4), philosophers engaged in the above tasks can be concerned with any branch of ethics, including meta-ethics, normative theory, and practical or applied ethics. The point of feminist ethics is, ideally, to change ethics for the better by improving ethical theorizing and offering better approaches to issues including those involving gender. Feminist ethics is not limited to gendered issues because the insights of feminist ethics are often applicable to analyses of moral experiences that share features with gendered issues or that reflect the intersection of gender with other bases of oppression. Feminist philosophical endeavors include bringing investigations motivated by feminist ethics to bear on ethical issues, broadly conceived.",,/entries/feminism-ethics/,Feminist Ethics,https://plato.stanford.edu/archives/win2021/entries/feminism-ethics/,title_exact_strict,
,,,Religious Ethics,,,,,,,,,,,
,,,,Buddhist Ethics,,,,,,,,,,
,,,,Christian Ethics,,,,,,,,,,
,,,,Jewish Ethics,,,,,,,,,,
,,,,Islamic Ethics,,,,,,,,,,
,,,Normative Ethics General Works,,,,,,,,,,,
,Philosophy of Gender Race and Sexuality,,,,,,,,,,,,,
,Philosophy of Law,,,,,,,,,,,,,
,Social and Political Philosophy,,,,,,,,,,,,,
,,Culture and Cultures,,,,,,,,,,,,
,,,Cultural Relativism,,,,,,,,,,,
,,,Cultural Cosmopolitanism *,,,,,,,,,,,
,,,Multiculturalism,,,,,"The idea of multiculturalism in contemporary political discourse and in political philosophy reflects a debate about how to understand and respond to the challenges associated with cultural diversity based on ethnic, national, and religious differences. The term ""multicultural"" is often used as a descriptive term to characterize the fact of diversity in a society, but in what follows, the focus is on multiculturalism as a normative ideal in the context of Western liberal democratic societies. While the term has come to encompass a variety of normative claims and goals, it is fair to say that proponents of multiculturalism find common ground in rejecting the ideal of the ""melting pot"" in which members of minority groups are expected to assimilate into the dominant culture. Instead, proponents of multiculturalism endorse an ideal in which members of minority groups can maintain their distinctive collective identities and practices. In the case of immigrants, proponents emphasize that multiculturalism is compatible with, not opposed to, the integration of immigrants into society; multiculturalism policies provide fairer terms of integration for immigrants. Modern states are organized around the language and culture of the dominant groups that have historically constituted them. As a result, members of minority cultural groups face barriers in pursuing their social practices in ways that members of dominant groups do not. Some theorists argue for tolerating minority groups by leaving them free of state interference (Kukathas 1995, 2003). Others argue that mere toleration of group differences falls short of treating members of minority groups as equals; what is required is recognition and positive accommodation of minority group practices through what the leading theorist of multiculturalism Will Kymlicka has called ""group-differentiated rights"" (1995). Some group-differentiated rights are held by individual members of minority groups, as in the case of individuals who are granted exemptions from generally applicable laws in virtue of their religious beliefs or individuals who seek language accommodations in education and in voting. Other group-differentiated rights are held by the group qua group rather by its members severally; such rights are properly called ""group rights,"" as in the case of indigenous groups and minority nations, who claim the right of self-determination. In the latter respect, multiculturalism is closely allied with nationalism. Multiculturalism is part of a broader political movement for greater inclusion of marginalized groups, including African Americans, women, LGBTQ people, and people with disabilities (Glazer 1997, Hollinger 1995, Taylor 1992). This broader political movement is reflected in the ""multiculturalism"" debates in the 1980s over whether and how to diversify school curricula to recognize the achievements of historically marginalized groups. But the more specific focus of contemporary theories of multiculturalism is the recognition and inclusion of minority groups defined primarily in terms of ethnicity, nationality, and religion. The main concern of contemporary multiculturalism are immigrants who are ethnic and religious minorities (e.g. Latinx people in the U.S., Muslims in Western Europe), minority nations (e.g. the Basque, Catalans, Quebecois, Welsh) and indigenous peoples (e.g. Native peoples and indigenous groups in Canada, the U.S., Australia, and New Zealand).","Political philosophy regarding cultural diversity. Debates concern group rights, recognition, and the accommodation of minorities within liberal democracies. Kymlicka defends group rights for national minorities; Okin argues multiculturalism can be bad for women (clash with feminism).",/entries/multiculturalism/,Multiculturalism,https://plato.stanford.edu/archives/win2021/entries/multiculturalism/,title_exact_strict,
,,,,Multiculturalism and Autonomy,,,,,,,,,,
,,,,Multiculturalism and Feminism,,,,,,,,,,
,,,,Multicultural Liberalism,,,,,,,,,,
,,,Minorities,,,,,,,,,,,
,,,,Minority Rights,,,,,,,,,,
,,,,Affirmative Action *,,,,,,,,,,
,,,,Identity Politics,,,,"The laden phrase ""identity politics"" has come to signify a wide range of political activity and theorizing founded in the shared experiences of injustice of members of certain social groups. Rather than organizing solely around belief systems, programmatic manifestos, or party affiliation, identity political formations typically aim to secure the political freedom of a specific constituency marginalized within its larger context. Members of that constituency assert or reclaim ways of understanding their distinctiveness that challenge dominant characterizations, with the goal of greater self-determination.","Political organizing around shared social identities (race, gender, sexuality, disability) and experiences of marginalization. Identity politics emphasizes recognition, empowerment, and addressing group-specific injustices. Debates concern whether identity politics fragments solidarity, essentialism worries, and tensions between recognition and redistribution.",/entries/identity-politics/,Identity Politics,https://plato.stanford.edu/archives/win2021/entries/identity-politics/,title_exact_strict,
,,,,Implicit Bias,,,,"Research on ""implicit bias"" suggests that people can act on the basis of prejudice and stereotypes without intending to do so. While psychologists in the field of ""implicit social cognition"" study consumer products, self-esteem, food, alcohol, political values, and more, the most striking and well-known research has focused on implicit biases toward members of socially stigmatized groups, such as African-Americans, women, and the LGBTQ community.[1] For example, imagine Frank, who explicitly believes that women and men are equally suited for careers outside the home. Despite his explicitly egalitarian belief, Frank might nevertheless behave in any number of biased ways, from distrusting feedback from female co-workers to hiring equally qualified men over women. Part of the reason for Frank's discriminatory behavior might be an implicit gender bias. Psychological research on implicit bias has grown steadily ( 1), raising metaphysical ( 2), epistemological ( 3), and ethical questions ( 4).[2]","Unconscious attitudes and stereotypes that affect understanding, actions, and decisions without deliberate intention. Research in implicit social cognition demonstrates that people can act on prejudices toward stigmatized groups despite consciously rejecting such biases. This raises important questions about responsibility, moral psychology, and strategies for reducing discriminatory behavior.",/entries/implicit-bias/,Implicit Bias,https://plato.stanford.edu/archives/win2021/entries/implicit-bias/,title_exact_strict,
,,,,Politics of Recognition,,,,,,,,,,
,,,,Disability *,,,,,,,,,,
,,,,Philosophy of Sexual Orientation *,,,,,,,,,,
,,,,Philosophy of Race *,,,,,,,,,,
,,,,Philosophy of Gender *,,,,,,,,,,
,,,Cultural Pluralism,,,,,,,,,,,
,,Equality,,,,,,"This article is concerned with social and political equality. In its prescriptive usage, 'equality' is a highly contested concept. Its normally positive connotation gives it a rhetorical power suitable for use in political slogans (Westen 1990). At least since the French Revolution, equality has served as one of the leading ideals of the body politic; in this respect, it is at present probably the most controversial of the great social ideals. There is controversy concerning the precise notion of equality, the relation of justice and equality (the principles of equality), the material requirements and measure of the ideal of equality (equality of what?), the extension of equality (equality among whom?), and its status within a comprehensive (liberal) theory of justice (the value of equality). This article will discuss each of these issues in turn.","The principle that people should be treated equally or as equals in some respect. Debates concern what equality requires (outcome, opportunity, resources, welfare, capabilities), equality's value (intrinsic or instrumental), and tensions with liberty. Egalitarian theories face challenges from leveling-down objection and prioritarian alternatives.",/entries/equality/,Equality,https://plato.stanford.edu/archives/win2021/entries/equality/,title_exact_strict,
,,,Affirmative Action,,,,,"""Affirmative action"" means positive steps taken to increase the representation of women and minorities in areas of employment, education, and culture from which they have been historically excluded. When those steps involve preferential selection-selection on the basis of race, gender, or ethnicity-affirmative action generates intense controversy. The development, defense, and contestation of preferential affirmative action has proceeded along two paths. One has been legal and administrative as courts, legislatures, and executive departments of government have made and applied rules requiring affirmative action. The other has been the path of public debate, where the practice of preferential treatment has spawned a vast literature, pro and con. Often enough, the two paths have failed to make adequate contact, with the public quarrels not always very securely anchored in any existing legal basis or practice. The ebb and flow of public controversy over affirmative action can be pictured as two spikes on a line, the first spike representing a period of passionate debate that began around 1972 and tapered off after 1980, and the second indicating a resurgence of debate in the 1990s leading up to Supreme Court's decisions in 2003 and 2016 upholding certain kinds of affirmative action. The first spike encompassed controversy about gender and racial preferences alike. This is because in the beginning affirmative action was as much about the factory, the firehouse, and the corporate suite as about the college campus. The second spike represents a quarrel about race and ethnicity. This is because the burning issue at the turn of the twentieth-first century is about college admissions. At selective colleges, women need no boost; African-Americans and Hispanics do.[1]","Positive steps taken to increase the representation of women and minorities in employment, education, and culture to remedy historical exclusion. The philosophical debate centers on the justification of preferential selection based on race, gender, or ethnicity.",/entries/affirmative-action/,Affirmative Action,https://plato.stanford.edu/archives/win2021/entries/affirmative-action/,title_exact_strict,
,,,,Arguments for Affirmative Action,,,,,,,,,,
,,,,Arguments against Affirmative Action,,,,,,,,,,
,,,Distributive Justice *,,,,,,,,,,,
,,,Egalitarianism,,,,,"Egalitarianism is a trend of thought in political philosophy. An egalitarian favors equality of some sort: People should get the same, or be treated the same, or be treated as equals, in some respect. An alternative view expands on this last-mentioned option: People should be treated as equals, should treat one another as equals, should relate as equals, or enjoy an equality of social status of some sort. Egalitarian doctrines tend to rest on a background idea that all human persons are equal in fundamental worth or moral status. So far as the Western European and Anglo-American philosophical tradition is concerned, one significant source of this thought is the Christian notion that God loves all human souls equally. Egalitarianism is a protean doctrine, because there are several different types of equality, or ways in which people might be treated the same, or might relate as equals, that might be thought desirable. In modern democratic societies, the term ""egalitarian"" is often used to refer to a position that favors, for any of a wide array of reasons, a greater degree of equality of income and wealth across persons than currently exists.","The view that people should be equal in some respect or treated as equals. Forms include equality of resources, welfare, opportunity, or capabilities. Debates concern what equality requires, whether equality has intrinsic value or instrumental value, and egalitarianism's relationship to liberty. Critics raise leveling-down objection and prioritarian alternatives.",/entries/egalitarianism/,Egalitarianism,https://plato.stanford.edu/archives/win2021/entries/egalitarianism/,title_exact_strict,
,,,,The Scope of Equality,,,,,,,,,,
,,,,The Value of Equality,,,,,,,,,,
,,,,Equality and Capabilities,,,,,,,,,,
,,,,Equality and Responsibility,,,,,,,,,,
,,,,The Leveling-Down Objection,,,,,,,,,,
,,,Priority and Prioritarianism,,,,,,,,,,,
,,,The Concept of Equality,,,,,,,,,,,
,,,Varieties of Equality,,,,,,,,,,,
,,,,Equality of Welfare,,,,,,,,,,
,,,,Equality of Resources,,,,,,,,,,
